id	x	y	cluster	weight<Links>	weight<Total link strength>	weight<pages>	score<doi>	score<pages doi>	score<isbn>	score<pages isbn>	score<references>
belarus	-0.8379	-0.1336	6	1703	277003	319	0.5486	12.226	3.3511	44.828	3.8809
belfast-related	-0.4062	-0.1338	5	1570	167064	228	0.1491	4.386	2.2588	50.439	2.3947
belgium-related	-0.8266	-0.1823	6	1925	986522	1326	0.3039	11.161	2.5452	37.858	2.8363
belgrade	-1.0301	-0.1735	6	1493	130657	132	0.3182	9.848	2.6364	30.303	2.947
belize	-0.3244	-0.3307	1	1486	66677	83	0.7229	21.687	2.5301	45.783	3.241
bell system	0.3987	0.5147	2	984	21665	19	0.9474	15.789	1.7895	36.842	2.7368
ben 10	1.053	0.0179	2	231	2072	4	0	0	0	0	0
benin	-0.7154	0.0565	1	1224	36916	72	0.9306	29.167	3.6806	44.444	4.6111
berbers	-1.0949	0.3049	4	1312	89746	87	0.931	27.586	6.9195	73.563	7.8506
berkshire	-0.2173	-0.0033	5	1586	141430	198	0.0859	6.566	1.6313	44.949	1.7172
bermuda	-0.3173	-0.5322	1	1441	49743	57	0.1228	7.018	2.6667	33.333	2.7719
bernini	-0.8164	0.4063	4	376	4719	14	0.2857	21.429	5.5714	57.143	5.8571
beverage	0.1051	0.5864	1	1717	122629	257	1.716	22.568	2.5136	49.805	4.1946
beyoncé	0.8464	0.3616	2	1315	151963	172	0.0116	1.163	0.343	16.279	0.3547
bhutan	-0.4755	0.7229	4	1488	101029	127	1.1024	18.11	4.5512	61.417	5.6457
biathlon	-0.2553	-0.4779	3	241	1874	12	0	0	0.0833	8.333	0.0833
bible	-0.9259	0.6619	4	1812	2369336	3214	0.2222	9.49	3.0445	51.307	3.2502
biblical criticism	-0.953	0.7234	4	753	24004	43	0.4419	16.279	6.3256	48.837	6.7674
bibliographies	-0.2004	0.7553	1	1074	21612	34	6.5588	47.059	2.6176	41.176	9.0882
big 12 conference	0.6225	-0.6381	3	1322	81852	69	0.0725	7.246	0.9565	30.435	1.029
big brother	0.6668	-0.0463	2	1561	79080	147	0.0476	1.361	0.6122	17.687	0.6599
bihar	-0.5131	0.8374	4	1526	146008	184	0.5543	17.391	5.3533	46.196	5.8804
billie eilish	0.7603	0.451	2	630	15678	32	0	0	0	0	0
biography	0.1285	-0.0804	3	2080	49133013	141645	0.3716	10.12	1.5266	36.75	1.8828
biography (actors and filmmakers)	0.6027	0.0283	2	1988	4139955	6900	0.0632	3.638	1.757	37.565	1.8164
biography (arts and entertainment)	0.1473	0.2219	2	2012	4670706	14256	0.1856	8.972	1.9282	42.684	2.1019
biography (core)	-0.4489	0.3759	4	1955	1155753	200	5.055	79	29.28	99	33.975
biography (military)	-0.538	-0.4839	6	2031	9937881	22279	0.1794	6.832	1.9584	42.502	2.1282
biography (musicians)	0.5588	0.2388	2	2014	6093895	15385	0.062	2.931	1.3098	32.311	1.3694
biography (peerage)	-0.5444	0.0682	5	1762	1021056	1486	0.5357	18.102	3.2665	52.355	3.784
biography (politics and government)	-0.1035	-0.3385	3	2047	9536786	15042	0.2134	8.975	2.0063	39.735	2.2098
biography (royalty)	-0.9455	0.1746	4	1885	2843802	4084	0.5162	16.773	4.4194	61.386	4.8871
biography (science and academia)	-0.2153	0.4765	1	1988	4900152	13839	2.0606	40.552	1.9519	43.977	3.944
biography (sports and games)	0.7033	-0.5986	3	1992	7709213	18739	0.0156	0.71	0.6821	24.057	0.697
biology	-0.038	0.8555	1	1866	927914	1155	14.8208	76.017	3.7481	55.758	18.226
biophysics	0.0113	0.7883	1	302	1735	1	8	100	7	100	15
biota of great britain and ireland	-0.2504	0.651	5	480	2091	11	1.2727	45.455	1.0909	54.545	2.3636
bird	-0.1536	0.8137	1	1736	497628	1781	5.5278	66.929	3.2864	66.985	8.7743
birmingham	0.0084	0.0981	5	1516	92647	109	0.2936	10.092	4.4037	57.798	4.6881
